news_pheme_101	fake	as n aircraft accident airbus a d a ipx pr ads haute bl one
news_politifact14811	fake	tennessee gop twitter taken down after tweet exposing pelosi involved in pedophilia
news_pheme_26	fake	live nation wants to apologize for any
news_E496	fake	trump build a fence around new mexico
news_pheme_68	fake	a frail brezhnev at may day parade
news_politifact14998	fake	singer dolly part on trump in one year is already better than years of bush obama put together this stupid liberals doing everything to impeach him but we standing with trump now and forever
news_pheme_280	fake	two surprise prince shows at massey hall cancelled report
news_politifact14750	fake	breaking roy moore's accuser worked for democratic leaders and is actively campaigning for moore's opponent activist mommy
news_politifact14756	fake	dnc's donna brazil e dedicated her book to patriot seth rich whose death made her fear for her own life
news_pheme_287	fake	ctv news ottawa
news_E424	fake	sarah palin native americans should go back to nat i
news_E222	fake	anonymous to reveal identities of ku klux klan members on st anniversary of ferguson protests
news_E367	fake	can you conker terrifying giant spiders with horse chestnuts
news_E425	fake	gay texas judge tonya parker won't perform marriages for straight couples
news_politifact14835	fake	facebook picks sides in alabama senate race shuts down gateway pundit and bre it bart reports on discredited all red accuser
news_politifact14644	fake	hrc caught on tape laughing about irma wiping out all of those florida hillbillies
news_E171	fake	this artist made soy sauce out of human hair
news_E324	fake	pope francis table cloth magic trick is fake
news_politifact15037	fake	russian source behind trump dossier killed in russian plane crash rosa tom cf o also dead conspiracy
news_pheme_160	fake	no prince concert live nation apologizes for incorrect information
news_E488	fake	illegal immigrant deported times charged in felony hit and run of family that injured children
news_E380	fake	casey anthony found dead at age
news_pheme_319	fake	banksy insta gram tribute to charlie he b do victims not posted by artist
news_E351	fake	sailor did not use raccoon to bypass breath al yz er
news_E269	fake	new details emerge about mom charged in killing her two month old baby
news_E490	fake	was amelia bass a no the real william shakespeare
news_E433	fake	black panther massacre on
news_pheme_335	fake	gunmen take hostages in standoffs with french police
news_politifact14884	fake	police discover meth lab in back room of alabama walmart
news_E609	fake	kale the super food you should be eating
news_E700	fake	rainbow registry
news_politifact14888	fake	trump vows to end winter heating assistance for elderly and disabled
news_E131	fake	anonymous claims to have uncovered is is plan to attack locations including a wwe event in atlanta
news_E331	fake	trump make america great again caps made in china
news_politifact15579	fake	us representatives agree to illicit un gun control plans
news_pheme_27	fake	are you a robot
news_pheme_273	fake	questions linger after fans wait hours for rumoured prince show
news_politifact14785	fake	southwest airlines
news_E82	fake	rond a rouse y fought five muggers off in los angeles
news_E418	fake	the halloween celebrated on october is the th in history
news_E33	fake	gl urge letter from a death row inmate
news_E212	fake	happy minimum wage labor day from mcdonalds
news_E555	fake	uk waterpark bans bikinis and orders visitors to wear islamic ally appropriate clothes
news_E55	fake	the caliph of is is the leader of al qaeda and arafat have scary thing in common obama's big secret
news_politifact14856	fake	chuck schumer s steamy affair with a high school cheerleader confirmed
news_politifact14596	fake	smoking gun san juan teamsters didn't show up for work to distribute relief supplies
news_E67	fake	congressman dhs employees on terrorist watchlist
news_pheme_264	fake	facebook
news_politifact14949	fake	mueller will be forced to resign over pelosi affair
news_pheme_142	fake	
news_pheme_116	fake	german wings a crash rescuers continue search amid reports plane's black box is damaged
news_E726	fake	german man cuts his belongings in half with power tools to give ex wife her share in divorce video
news_E384	fake	planned parenthood
news_E697	fake	marcus bachmann files for divorce fresh on heels of scotus ruling
news_politifact14737	fake	breaking supreme court issues its first bench warrant ever
news_E546	fake	margaret sanger said slavs latin and hebrew immigrants are human weeds in need of eradication
news_E249	fake	uber facts on twitter
news_pheme_269	fake	analyst air speed declined before france plane crash
news_E291	fake	cnn or c poll trump now competitive in general election
news_pheme_231	fake	prince a no show in t o
